name,latitude,longitude,link
1. The Swinery,47.5753670,-122.3870697,http://maps.google.com/?q=3207%20California%20Ave.%20SW
2. Loulay Kitchen & Bar,47.6104126,-122.3334961,http://maps.google.com/?q=600%20Union%20St.%2C
3. Matt's in the Market,47.6088867,-122.3403931,http://maps.google.com/?q=94%20Pike%20St.%20Suite%2032%2C
4. Zippy's Giant Burgers,47.5168724,-122.3525467,http://maps.google.com/?q=9614%2014th%20Ave.%20SW.
5. Palace Kitchen,47.6145782,-122.3400574,http://maps.google.com/?q=5633%20Airport%20Way%20S
6. Tipsy Cow Burger Bar,47.6730156,-122.1222305,http://maps.google.com/?q=2030%20Fifth%20Ave.
7. Uneeda Burger,47.6595192,-122.3497620,http://maps.google.com/?q=16345%20Cleveland%20St.
8. Jak's Grill,47.5614624,-122.3863602,http://maps.google.com/?q=4302%20Fremont%20Ave.
9. Ma'ono,47.5636177,-122.3871231,http://maps.google.com/?q=4437%20California%20Ave.%20SW.
10. 8oz Burger & Co,47.6131172,-122.3209763,http://maps.google.com/?q=1401%20Broadway%2C
